rps,ec2_usd_mo,fargate_usd_mo,lambda_usd_mo
1.0,15.184,18.02005,1.8398628
1.2067926406393286,15.184,18.02005,2.2203328868260686
1.4563484775012439,15.184,18.02005,2.6794813875911756
1.7575106248547918,15.184,18.02005,3.2335784192750867
2.120950887920191,15.184,18.02005,3.9022586393113285
2.5595479226995357,15.184,18.02005,4.709217007792152
3.088843596477481,15.184,18.02005,5.683048428177129
3.72759372031494,15.184,18.02005,6.858261019521062
4.498432668969445,15.184,18.02005,8.276498925941597
5.428675439323859,15.184,18.02005,9.988017994085627
6.551285568595508,15.184,18.02005,12.053466609835723
7.906043210907698,15.184,18.02005,14.546034798941626
9.54095476349994,15.184,18.02005,17.554047745846336
11.513953993264469,15.184,18.02005,21.184095633118744
13.894954943731374,15.184,18.02005,25.564810708647446
16.768329368110074,15.184,18.02005,30.851425422533232
20.235896477251565,15.184,18.02005,37.2312731531462
24.42053094548651,15.184,18.02005,44.93042644284945
29.4705170255181,15.184,18.02005,54.22170797201739
35.564803062231285,15.184,18.02005,65.43435814352543
42.91934260128776,15.184,18.02005,78.96570185256458
51.7947467923121,15.184,18.02005,95.29522785859434
62.505519252739695,15.184,18.02005,115.00157966779956
75.43120063354615,15.184,18.02005,138.783060004998
91.02981779915217,15.184,18.02005,167.48237545943797
109.85411419875584,15.184,18.02005,202.11649814124266
132.57113655901082,15.184,18.02005,243.912702508644
159.98587196060572,15.184,18.02005,294.3520543458815
193.06977288832496,15.184,18.02005,355.22189294167765
232.99518105153717,15.184,18.02005,428.67916619598816
281.1768697974228,15.184,18.02005,517.3268629607218
339.3221771895326,15.184,20.382008663547456,624.3062510260296
409.49150623804235,15.544297576796087,24.59685805661612,753.4081892433421
494.1713361323833,18.758743919585267,29.683307285574518,909.2074581762679
596.3623316594643,22.637914109793265,35.821596782067104,1097.2248693415106
719.6856730011514,27.319268147123704,43.229239372547994,1324.1228974477829
868.511373751352,32.96869174760132,52.16872793522685,1597.941767942009
1048.1131341546852,39.786374572511846,62.95683694374713,1928.3843657226146
1264.8552168552958,48.01390403182703,75.97584750164425,2327.1600608779913
1526.4179671752318,57.9428260339718,91.68709363132011,2808.39963505733
1842.0699693267145,69.92497603564208,110.64730983588623,3389.156011561363
2222.996482526193,84.38494647669428,133.5283592164871,4090.0085327307925
2682.6957952797247,101.83513238881834,161.14104121910137,4935.79219745158
3237.457542817643,122.89388832535771,194.46382264817026,5956.477699609589
3906.939937054613,148.3074400105931,234.67751004240327,7188.233452021123
4714.8663634573895,178.97632715684247,283.2070920427344,8674.70722909653
5689.866029018293,215.9873144615344,341.77223445403706,10468.572843774478
6866.488450042998,260.6519015636322,412.4482173139911,12633.39666586377
8286.427728546843,314.5527965756381,497.73947329933515,15245.890122641835
10000.0,379.6,600.6683333333334,18398.628
